27; 27 61 68 188 205 228 294 299 312 314 324 334 366 371 410 463 486 496 548 576 704 708 722 766 801 873 882 ; 3862
27; 30 42 131 214 314 324 338 374 414 417 441 461 475 550 624 652 665 686 695 721 722 808 832 882 926 976 998 ; 4526
26; 105 131 218 228 293 294 300 325 366 369 378 451 503 533 579 652 704 722 725 758 776 854 858 863 890 929 ; 3023
24; 93 142 162 206 220 270 286 304 358 408 423 428 481 530 538 585 593 595 606 750 767 794 823 853 ; 2967
27; 30 167 227 247 312 340 390 417 425 430 460 475 496 537 697 704 708 731 808 844 854 890 978 988 993 994 995 ; 4982
29; 8 29 82 118 120 125 145 164 165 203 222 289 337 418 431 471 527 540 625 677 684 703 726 825 851 861 899 906 989 ; 5814
23; 8 29 114 118 120 145 164 165 211 222 229 262 418 431 453 471 625 773 791 824 899 909 912 ; 3007
25; 19 179 183 296 305 334 350 433 467 490 506 541 576 590 601 624 665 700 888 905 947 948 975 981 992 ; 4554
25; 21 39 48 99 154 171 263 276 295 353 457 514 526 572 582 607 619 653 661 694 778 794 880 885 939 ; 4591
24; 92 94 102 107 118 120 198 239 246 279 280 352 365 384 431 477 508 627 643 667 685 898 899 906 ; 5683
