11; 324 411 561 574 1059 1159 1296 1344 1550 1644 1983 ; 10689
10; 616 715 874 1081 1195 1261 1427 1580 1700 1747 ; 10629
10; 25 153 381 389 786 841 917 1274 1561 1821 ; 10597
11; 157 177 424 725 1048 1063 1083 1265 1288 1448 1927 ; 10354
10; 192 253 718 777 900 1163 1471 1485 1703 1814 ; 10414
10; 397 564 617 700 742 751 1118 1198 1266 1348 ; 10497
8; 43 209 556 969 995 1118 1468 1660 ; 10477
10; 268 273 360 600 645 1012 1376 1480 1806 1846 ; 10396
10; 185 493 536 791 971 1050 1356 1463 1708 1984 ; 10371
8; 201 294 336 462 813 1010 1263 1339 ; 10469
