9; 1208 1404 1457 1797 1943 1985 2263 2534 3519 ; 84168
11; 490 603 649 908 1309 1604 1716 2207 2653 3232 3421 ; 82827
11; 589 1017 1242 2092 2116 2194 2215 2599 3015 3230 3695 ; 82630
11; 250 1047 1350 1378 2781 2945 3108 3264 3524 3679 3784 ; 83709
11; 282 1289 1396 2367 2628 2861 2911 3331 3348 3506 3737 ; 82947
10; 269 775 776 961 1861 2104 2554 3403 3841 3988 ; 82814
11; 102 336 374 664 1585 1877 2225 2974 2978 3905 3940 ; 82483
10; 458 827 830 1300 1329 1986 2138 2463 2753 3078 ; 82240
10; 61 303 662 833 1474 1481 1576 2455 2930 3046 ; 83585
10; 9 513 1015 1596 1770 2161 2181 2244 3161 3964 ; 83097
