19; 8 10 22 26 37 41 45 89 149 160 164 168 217 237 267 280 324 327 392 ; 109
18; 2 31 38 44 67 73 76 128 142 156 192 219 226 241 350 351 363 368 ; 109
19; 3 24 38 44 73 74 76 85 159 206 219 220 253 328 332 334 349 375 399 ; 106
21; 22 28 45 47 103 110 164 170 237 258 262 268 280 290 293 316 327 333 336 337 348 ; 105
19; 51 88 106 113 123 159 166 244 257 276 284 289 299 349 369 370 383 387 398 ; 102
18; 16 17 68 79 91 101 108 165 204 240 243 272 283 309 347 365 372 383 ; 105
16; 10 54 58 60 89 104 154 175 200 217 218 229 288 335 377 392 ; 99
18; 21 30 75 83 86 105 106 152 203 214 247 254 257 259 273 353 381 386 ; 103
21; 21 24 38 39 65 73 83 97 105 115 119 139 153 178 219 241 249 273 325 358 376 ; 102
19; 12 15 38 61 72 80 85 115 122 131 190 294 302 320 342 351 371 374 399 ; 103
